T,m,m1,m2,m4
0,-5e-05,1,1,1
0.02,-5e-05,1,1,1
0.04,-5e-05,1,1,1
0.06,-5e-05,1,1,1
0.08,-5e-05,1,1,1
0.1,-5e-05,1,1,1
0.12,-5e-05,1,1,1
0.14,-5e-05,1,1,1
0.16,-5e-05,1,1,1
0.18,-5e-05,1,1,1
0.2,-5e-05,1,1,1
0.22,-5e-05,1,1,1
0.24,-5e-05,1,1,1
0.26,-4.9707e-05,1,0.999999,0.999999
0.28,-5.0293e-05,0.999999,0.999999,0.999998
0.3,-4.98535e-05,0.999997,0.999994,0.999987
0.32,-4.98535e-05,0.999989,0.999978,0.999956
0.34,-5.04395e-05,0.999977,0.999954,0.999908
0.36,-4.92676e-05,0.999953,0.999906,0.999812
0.38,-4.70703e-05,0.999922,0.999845,0.99969
0.4,-5.71777e-05,0.999863,0.999727,0.999455
0.42,0.000102783,0.999768,0.999536,0.999073
0.44,0.000245898,0.999629,0.99926,0.998522
0.46,-0.000358203,0.999459,0.998919,0.997842
0.48,0.000251025,0.999222,0.998446,0.996899
0.5,0.000110547,0.998889,0.997782,0.995575
0.52,-0.000195898,0.99851,0.997024,0.994067
0.54,0.00023418,0.997981,0.995968,0.991966
0.56,0.000523926,0.997277,0.994566,0.989179
0.58,-0.000524023,0.996533,0.993083,0.986239
0.6,-0.000347363,0.995442,0.990913,0.981942
0.62,-0.00126436,0.994151,0.988346,0.976872
0.64,0.000356201,0.992749,0.985564,0.97139
0.66,-0.000222852,0.990896,0.981893,0.964184
0.68,-0.000243799,0.988766,0.977681,0.95595
0.7,-0.000501172,0.986203,0.972626,0.946115
0.72,-0.000666699,0.983306,0.966928,0.935092
0.74,-0.000882324,0.979885,0.960225,0.92222
0.76,-0.000375195,0.975616,0.951889,0.906331
0.78,-0.000827686,0.971038,0.942993,0.889533
0.8,-0.000396582,0.964915,0.931164,0.867451
0.82,-0.00215938,0.958664,0.919167,0.845349
0.84,-0.0031417,0.951093,0.904751,0.819195
0.86,0.000438672,0.941255,0.886206,0.78622
0.88,-0.00122539,0.929546,0.864411,0.748411
0.9,0.00178677,0.915575,0.838715,0.704884
0.92,-0.00309204,0.896625,0.804651,0.649711
0.94,-0.000115186,0.870326,0.758826,0.579673
0.96,-0.00333755,0.831332,0.694332,0.489842
0.98,-0.00300063,0.759359,0.586325,0.361324
1,-0.0015002,0.601413,0.393385,0.190589
1.02,-0.00603213,0.359616,0.161542,0.0473615
1.04,-0.00347949,0.23797,0.0727583,0.0109474
1.06,-0.00171069,0.192166,0.0472283,0.00462296
1.08,-0.00446064,0.154711,0.03084,0.00201197
1.1,-0.000642822,0.143825,0.0262453,0.00141107
1.12,-0.00102983,0.124518,0.0198381,0.000800186
1.14,-0.000803369,0.114022,0.0165598,0.000560827
1.16,0.00475894,0.104296,0.0137465,0.000359322
1.18,0.00160425,0.094931,0.0115377,0.00027593
1.2,0.000158154,0.0964063,0.0117909,0.000268772
1.22,-0.00295654,0.0856264,0.00930971,0.000172529
1.24,-0.00252119,0.0865858,0.00948775,0.000180771
1.26,-0.00415127,0.0818442,0.0084455,0.000138626
1.28,0.0053248,0.0760728,0.00736802,0.000109899
1.3,0.00228701,0.076048,0.00725403,0.000101346
1.32,-0.00310522,0.0730743,0.00687328,9.67966e-05
1.34,0.00217612,0.0665068,0.0056391,6.29797e-05
1.36,-0.000992041,0.0676838,0.00586498,6.83159e-05
1.38,0.0157192,0.0720182,0.00641786,7.55577e-05
1.4,-0.00346982,0.0668247,0.00569539,6.83014e-05
1.42,-0.0097855,0.0599955,0.00459614,4.22441e-05
1.44,-0.00822266,0.0584231,0.0043121,3.6375e-05
1.46,0.00297271,0.0547041,0.00388538,3.36789e-05
1.48,0.00410635,0.0572207,0.00412447,3.36567e-05
1.5,-0.0128709,0.0604305,0.00455031,3.91862e-05
1.52,-0.0122959,0.0627073,0.00484608,4.25787e-05
1.54,0.0058498,0.0561717,0.00407094,3.37989e-05
1.56,-0.00491079,0.0538168,0.00378904,3.09053e-05
1.58,0.00530737,0.0582589,0.00423369,3.42001e-05
1.6,-0.00812861,0.055999,0.00386643,2.66373e-05
1.62,-0.00542012,0.050703,0.00327683,2.08574e-05
1.64,0.00722427,0.0481515,0.00305628,2.17553e-05
1.66,-0.00314272,0.0552824,0.00380942,2.65531e-05
1.68,0.00143374,0.0499829,0.00316622,1.97953e-05
1.7,0.0122516,0.0483798,0.00300102,1.88356e-05
1.72,0.00338198,0.0483053,0.00297751,1.71046e-05
1.74,0.00265117,0.0543103,0.00367366,2.51449e-05
1.76,-0.00895039,0.0486951,0.00297591,1.70391e-05
1.78,-0.0127136,0.0508064,0.00322268,1.96598e-05
1.8,0.0055312,0.0459081,0.00269102,1.54082e-05
1.82,0.000684619,0.0447114,0.00249871,1.12734e-05
1.84,-0.00477354,0.048986,0.00308276,2.11737e-05
1.86,-0.00760537,0.0483466,0.00289563,1.57109e-05
1.88,0.00298413,0.0421885,0.0022554,9.47712e-06
1.9,0.00343999,0.0409383,0.00213128,8.66655e-06
1.92,0.00199653,0.0488235,0.00284494,1.38119e-05
1.94,0.000655469,0.04455,0.00257413,1.42153e-05
1.96,-0.00396436,0.0426889,0.00225154,8.87486e-06
1.98,0.00375405,0.0465864,0.00260792,1.1491e-05
