T,m,m1,m2,m4
0,-5e-05,1,1,1
0.02,-5e-05,1,1,1
0.04,-5e-05,1,1,1
0.06,-5e-05,1,1,1
0.08,-5e-05,1,1,1
0.1,-5e-05,1,1,1
0.12,-5e-05,1,1,1
0.14,-5e-05,1,1,1
0.16,-5e-05,1,1,1
0.18,-5e-05,1,1,1
0.2,-5e-05,1,1,1
0.22,-5e-05,1,1,1
0.24,-5e-05,1,1,1
0.26,-5e-05,1,1,1
0.28,-5e-05,1,1,1
0.3,-5e-05,1,1,1
0.32,-5e-05,0.999986,0.999972,0.999946
0.34,-5.9375e-05,0.999981,0.999963,0.999928
0.36,-4.53125e-05,0.999953,0.999908,0.99982
0.38,-4.0625e-05,0.999921,0.999843,0.999693
0.4,0.000104687,0.999928,0.999857,0.999722
0.42,-0.000324219,0.999804,0.999613,0.999244
0.44,-3.59375e-05,0.999634,0.999276,0.998587
0.46,0.000254687,0.999454,0.998922,0.997899
0.48,0.000142187,0.99912,0.998262,0.996611
0.5,0.000303906,0.998933,0.997895,0.9959
0.52,-1.01563e-05,0.998483,0.997007,0.994173
0.54,0.000404687,0.9979,0.995857,0.991936
0.56,0.000200781,0.997296,0.994674,0.989661
0.58,0.00045625,0.996344,0.992804,0.986053
0.6,0.000135156,0.995301,0.99076,0.982125
0.62,-0.000176563,0.994287,0.988773,0.978304
0.64,-0.000382813,0.992461,0.985212,0.971523
0.66,0.000367187,0.990784,0.981957,0.965372
0.68,-0.000232813,0.98841,0.977344,0.956656
0.7,-0.000129688,0.98611,0.972917,0.948423
0.72,-0.000436719,0.982867,0.966631,0.936594
0.74,-0.000863281,0.980123,0.961404,0.927045
0.76,-0.00125703,0.975245,0.952099,0.910017
0.78,0.00112422,0.971566,0.945156,0.897564
0.8,-0.000239844,0.965911,0.934581,0.878887
0.82,-0.000413281,0.958071,0.92017,0.854162
0.84,-0.00063125,0.950942,0.907076,0.831633
0.86,-0.000835156,0.942656,0.892184,0.807045
0.88,-0.000127344,0.930736,0.871367,0.773861
0.9,-0.00124063,0.914874,0.844813,0.733772
0.92,-0.00126875,0.896439,0.814107,0.6886
0.94,0.00548359,0.874437,0.779301,0.640446
0.96,0.00225859,0.849975,0.741802,0.590911
0.98,0.000179687,0.811915,0.686612,0.523865
1,-0.00407656,0.774684,0.635943,0.467069
1.02,-0.00575938,0.731495,0.575181,0.396684
1.04,0.00224922,0.685733,0.517562,0.339179
1.06,0.00128828,0.627195,0.44604,0.270216
1.08,-0.00414688,0.582285,0.390713,0.21814
1.1,-0.00201406,0.524285,0.326141,0.164545
1.12,0.00747344,0.500192,0.298517,0.141364
1.14,0.00608594,0.458845,0.255594,0.109658
1.16,-0.00178438,0.421131,0.217768,0.0831886
1.18,0.00166328,0.397658,0.194046,0.0663612
1.2,-0.00310391,0.37352,0.172841,0.0547192
1.22,0.00142656,0.35929,0.160034,0.0476059
1.24,-0.0056,0.334078,0.139879,0.0374911
1.26,0.0050125,0.330842,0.137445,0.0365622
1.28,-0.00293516,0.310401,0.12209,0.0295424
1.3,-0.00114219,0.30194,0.115781,0.0265145
1.32,0.010675,0.289149,0.10572,0.0220594
1.34,-0.00253906,0.280416,0.0991697,0.0196876
1.36,-0.000715625,0.27387,0.0954856,0.0183848
1.38,0.000622656,0.258621,0.0847398,0.0143479
1.4,-0.000877344,0.258782,0.0841329,0.0138952
1.42,-0.00164844,0.252241,0.080184,0.0126898
1.44,-0.00348594,0.251091,0.079615,0.0124341
1.46,-0.00577813,0.24415,0.0753712,0.0112223
1.48,-0.00665469,0.23484,0.0700545,0.00992078
1.5,0.00878594,0.237247,0.0708968,0.00988585
1.52,-0.00246641,0.230858,0.066974,0.00864136
1.54,0.00183906,0.225732,0.0641257,0.00801497
1.56,-0.00414688,0.220941,0.0621392,0.00783287
1.58,0.00455547,0.218683,0.0607699,0.00763835
1.6,0.00156016,0.212706,0.0567583,0.00625353
1.62,-0.00119609,0.216617,0.0587134,0.00662352
1.64,0.00124844,0.213411,0.0575491,0.00659481
1.66,0.00765625,0.208853,0.0549862,0.00585954
1.68,0.00290547,0.202413,0.0517707,0.00519602
1.7,0.00261719,0.200384,0.050509,0.00495988
1.72,-0.00283672,0.195548,0.0488916,0.00486705
1.74,0.00199609,0.194698,0.0483948,0.00474983
1.76,0.000873437,0.195561,0.0481552,0.00457793
1.78,-0.00166484,0.201037,0.050866,0.00504224
1.8,0.000526562,0.189411,0.045294,0.00401045
1.82,-0.00580391,0.194858,0.047549,0.00434173
1.84,-0.00560469,0.185772,0.0437433,0.00380165
1.86,0.00121562,0.189257,0.0449671,0.00401581
1.88,-0.0105852,0.185473,0.0435477,0.00376008
1.9,0.00138672,0.184451,0.0430675,0.00366921
1.92,0.00323359,0.182515,0.0420181,0.00348291
1.94,-0.00461328,0.179706,0.0410359,0.00339223
1.96,-0.00438125,0.179587,0.0406299,0.00319833
1.98,-0.000253906,0.177622,0.0401116,0.00329497
